Year,Points,Assists,Steals,Blocks,Rebounds,Turnovers
2018-19,7163,1353,485,335,3048,944
2017-18,8566,1912,552,421,3611,1207
2016-17,8556,1786,581,455,3706,1139
2015-16,8065,1682,467,466,3638,1099
2014-15,7535,1746,575,382,3310,1206
2013-14,8084,1641,631,367,3307,1063
2012-13,8196,1579,672,294,3326,988
2011-12,6458,1328,622,276,2755,1056
2010-11,8734,1757,625,475,3317,1123
2009-10,8373,1772,586,305,3313,1148
2008-09,8627,1738,610,204,3456,1174
2007-08,7948,1530,521,213,3486,1187
2006-07,7994,1532,543,260,3548,1405
2005-06,7842,1468,555,271,3394,1449
2004-05,7977,1665,629,260,3358,1204
2003-04,7542,1695,608,391,3493,1289
2002-03,7860,1800,579,255,3218,1149
2001-02,7514,1720,558,288,3334,1192
2000-01,7275,1520,545,346,3297,1189
1999-00,7555,1588,515,349,3323,1201
